price,accommodates,bedrooms,beds,bathrooms,guests_included,reviews_per_month,number_of_reviews,host_listings_count,longitude,latitude
65.0,2,1.0,1.0,1.0,1,3.75,16,3.0,-9182177.503079617,5306723.115732871
149.0,6,3.0,4.0,1.0,4,7.84,165,4.0,-9181398.006416136,5306763.593554331
125.0,2,1.0,1.0,1.5,0,2.11,48,1.0,-9182407.071012285,5306478.799844139
129.0,4,1.0,3.0,1.0,1,0.26,2,2.0,-9181604.035067318,5306782.296583105
150.0,4,2.0,2.0,2.0,1,1.48,27,1.0,-9181779.989261605,5306922.929549217
150.0,2,1.0,1.0,1.5,2,0.3,9,1.0,-9181357.969562374,5306399.441085459
80.0,5,2.0,2.0,1.5,1,6.07,88,1.0,-9181767.138102062,5307259.827281211
126.0,2,1.0,1.0,1.0,2,1.75,10,1.0,-9181637.429897115,5307155.51072877
115.0,4,1.0,2.0,1.0,2,0.82,5,1.0,-9181778.9929529,5306610.40921218
225.0,4,2.0,2.0,2.0,1,0.64,10,1.0,-9181787.084842296,5306733.021997596
89.0,2,1.0,1.0,1.0,2,3.64,244,2.0,-9182334.369118461,5306996.140704968
225.0,8,3.0,5.0,2.5,1,0.11,1,36.0,-9181303.651204577,5306736.263980622
134.0,4,1.0,2.0,1.0,1,4.05,40,4.0,-9181951.744586322,5306820.320074003
75.0,2,1.0,1.0,1.0,1,0.62,2,1.0,-9181764.272706332,5307160.814619736
65.0,2,1.0,1.0,1.0,2,6.87,46,1.0,-9181575.481873307,5306958.806037346
375.0,6,3.0,4.0,2.5,1,3.75,23,2.0,-9182242.596081695,5306668.319542875
97.0,3,1.0,2.0,1.0,2,1.55,44,2.0,-9181928.48840107,5307272.45133751
145.0,2,1.0,1.0,1.0,2,0.82,14,1.0,-9181373.580790242,5306878.706328655
129.0,5,2.0,4.0,1.0,1,0.77,12,2.0,-9181510.021503946,5306877.360500344
197.0,6,3.0,4.0,1.5,1,0.09,1,1.0,-9180943.43366544,5307264.517244394
120.0,2,1.0,1.0,1.0,2,3.39,25,1.0,-9181833.31246329,5306914.068553595
200.0,4,1.0,1.0,1.0,4,1.84,35,1.0,-9181293.24068023,5306264.4783581905
135.0,5,2.0,2.0,2.0,4,3.95,5,2.0,-9181868.184409702,5307236.7537059
70.0,2,1.0,1.0,1.0,2,1.89,31,1.0,-9181109.860727005,5307265.340848273
150.0,2,1.0,2.0,1.0,1,1.37,7,1.0,-9181822.709719375,5306379.561325583
200.0,3,1.0,1.0,1.0,1,0.83,4,1.0,-9180921.514822956,5306554.4120133035
60.0,2,1.0,1.0,1.0,1,3.87,16,3.0,-9182241.09138191,5306508.72469442
180.0,5,3.0,5.0,3.0,1,1.0,1,1.0,-9182142.185636912,5306812.275407758
69.0,3,1.0,1.0,1.0,2,3.38,8,1.0,-9181457.878746968,5306825.887150661
90.0,3,0.0,1.0,1.0,2,1.0,1,1.0,-9181409.833814818,5306070.285764459
80.0,2,1.0,1.0,1.0,2,0.65,5,1.0,-9182336.244587133,5306511.878659864
150.0,5,2.0,2.0,1.5,2,0.96,26,1.0,-9181043.392790046,5306809.823361698
195.0,6,2.0,3.0,1.5,4,7.53,113,4.0,-9181365.900269842,5306689.123897684
224.0,5,2.0,2.0,3.0,1,1.22,15,1.0,-9181138.083147129,5306786.712359191
115.0,3,2.0,2.0,1.0,2,5.87,44,1.0,-9181402.873145694,5306798.033661922
55.0,2,1.0,1.0,1.0,1,1.91,7,3.0,-9181760.551353943,5306939.996684567
338.0,8,4.0,5.0,2.5,6,2.05,13,4.0,-9181903.76195865,5307066.483760882
79.0,2,1.0,1.0,1.0,1,6.23,44,2.0,-9182235.533351997,5307025.942018873
80.0,2,1.0,1.0,1.0,1,3.11,56,1.0,-9181894.271581303,5306557.462417001
85.0,2,0.0,1.0,1.0,1,3.55,11,1.0,-9181977.369520867,5306866.709995443
80.0,2,1.0,1.0,1.0,2,2.22,39,1.0,-9181722.435767287,5307013.9780083485
49.0,3,1.0,1.0,1.0,1,1.68,10,1.0,-9181690.594634261,5306551.421448455
100.0,4,3.0,2.0,2.5,1,0.34,6,1.0,-9181249.290334396,5306838.334945186
79.0,2,1.0,1.0,1.0,1,0.2,4,1.0,-9182473.39873307,5306551.534055359
75.0,2,0.0,1.0,1.0,2,4.67,79,1.0,-9181069.125148721,5306342.090006677
57.0,2,1.0,1.0,1.0,0,5.32,50,2.0,-9181873.813273683,5306826.108889055
99.0,4,1.0,2.0,1.0,2,5.79,28,1.0,-9180488.136161894,5306715.733911505
55.0,1,1.0,1.0,1.0,1,0.68,20,1.0,-9179855.626606356,5305926.913822728
96.0,2,1.0,1.0,1.0,2,2.56,57,1.0,-9180052.300865483,5306356.876145595
99.0,4,1.0,1.0,1.0,2,2.61,38,2.0,-9180098.575402018,5306683.664889282
79.0,4,2.0,2.0,1.0,1,7.2,71,1.0,-9180361.53258286,5306264.477385526
115.0,2,1.0,1.0,1.0,2,0.82,17,5.0,-9180162.826847585,5306886.444538492
350.0,10,3.0,5.0,2.5,6,1.06,13,2.0,-9180459.71984439,5306160.959908364
295.0,6,3.0,3.0,3.0,5,0.22,3,1.0,-9180875.767865919,5307106.758990143
70.0,2,1.0,1.0,1.5,0,1.84,19,1.0,-9180716.767961048,5306924.044276013
53.0,2,1.0,1.0,1.0,1,1.65,18,1.0,-9180485.360714013,5307213.345278503
110.0,4,2.0,2.0,1.0,1,0.61,12,2.0,-9179914.158887409,5306512.3446827
225.0,4,2.0,2.0,1.0,1,0.85,4,1.0,-9179820.548871385,5306490.231558555
35.0,2,1.0,1.0,1.5,2,3.96,7,4.0,-9180796.866638754,5307056.580095465
55.0,2,1.0,1.0,1.0,1,2.82,23,1.0,-9179849.040190926,5306155.447117616
45.0,2,1.0,1.0,1.5,2,2.0,2,4.0,-9180686.986909699,5306878.502350167
133.0,8,2.0,6.0,1.0,4,2.87,39,1.0,-9180169.345498197,5306491.757850988
65.0,2,1.0,1.0,1.0,1,3.86,64,1.0,-9180586.421368934,5306437.82355559
61.0,1,1.0,1.0,2.0,1,0.82,4,1.0,-9179912.761612857,5306888.495964947
70.0,2,1.0,1.0,1.0,1,1.21,8,1.0,-9180208.35631147,5306727.777662519
52.0,1,1.0,1.0,1.0,1,1.25,14,2.0,-9180779.344698247,5306915.6925522825
50.0,2,1.0,1.0,1.0,1,0.3,1,1.0,-9179805.88923684,5306926.887102442
149.0,2,1.0,1.0,1.0,1,4.28,85,1.0,-9180315.418389838,5306017.618377088
89.0,2,1.0,1.0,1.0,2,2.18,125,1.0,-9180141.272864323,5306815.240361514
225.0,10,3.0,3.0,2.0,8,5.15,121,9.0,-9180002.010214902,5306275.729391724
120.0,3,1.0,2.0,1.0,2,2.59,131,1.0,-9179856.081147376,5306409.611859809
85.0,2,0.0,1.0,1.0,1,2.85,49,1.0,-9180075.386663312,5306860.808666094
80.0,4,1.0,2.0,1.5,4,1.3,2,4.0,-9180735.949803503,5307023.375419956
89.0,3,1.0,3.0,1.0,2,4.29,28,1.0,-9180051.53891185,5305887.281665645
99.0,4,1.0,1.0,1.0,2,4.89,111,2.0,-9180169.520923894,5306551.083320187
110.0,4,1.0,3.0,1.0,2,4.51,49,2.0,-9179825.584008934,5306060.804241323
180.0,6,2.0,3.0,1.0,4,3.4,28,1.0,-9180328.205975628,5306495.788328853
70.0,4,1.0,2.0,1.0,1,3.0,3,1.0,-9180700.309461383,5306506.124944035
75.0,1,1.0,1.0,1.0,1,0.47,9,1.0,-9180297.411626844,5307104.553692427
85.0,4,2.0,2.0,1.0,4,5.22,12,1.0,-9179883.867901498,5306091.069299262
80.0,2,1.0,1.0,1.0,1,5.02,50,2.0,-9180462.621090444,5306006.068009924
90.0,3,1.0,1.0,1.0,1,0.85,3,1.0,-9179919.88836403,5306270.589103389
80.0,2,1.0,1.0,1.0,1,1.58,24,1.0,-9179976.171563162,5306760.480888221
75.0,2,0.0,1.0,1.0,1,12.15,81,1.0,-9180220.310215669,5305918.129166511
70.0,2,1.0,1.0,1.0,1,0.98,19,2.0,-9180049.482667385,5306277.87977441
350.0,8,4.0,4.0,3.5,1,0.95,6,1.0,-9180020.236997778,5307021.944021735
95.0,4,0.0,1.0,1.0,2,4.79,115,1.0,-9180480.516352823,5306095.033066698
90.0,2,1.0,1.0,1.0,1,2.14,72,2.0,-9180103.927482598,5306811.3690359155
435.0,12,4.0,5.0,2.0,9,0.28,12,4.0,-9179768.424356965,5306205.8556365445
250.0,6,3.0,3.0,1.5,1,0.25,1,354.0,-9180119.661509609,5306725.971084919
65.0,2,1.0,1.0,1.0,1,3.31,31,2.0,-9180835.448764218,5306734.275559241
95.0,3,1.0,1.0,1.0,2,3.57,125,1.0,-9180157.114957517,5306111.365535942
110.0,3,1.0,2.0,1.0,2,1.24,7,2.0,-9180767.346343525,5307005.563100264
50.0,3,1.0,2.0,1.0,1,2.0,2,1.0,-9180272.239445789,5306797.217006594
100.0,2,1.0,1.0,1.0,1,2.7,62,1.0,-9179884.76696849,5305885.789370706
116.0,5,1.0,3.0,1.0,4,3.3,74,1.0,-9180485.324396351,5307282.940364719
150.0,4,1.0,2.0,1.0,2,0.86,1,2.0,-9179855.752464132,5305917.663970982
275.0,8,3.0,3.0,2.0,8,5.63,107,9.0,-9179843.667336099,5306095.900869159
180.0,6,3.0,3.0,2.0,1,0.29,10,2.0,-9180134.522556948,5306772.947655333
97.0,2,1.0,1.0,1.0,1,9.14,155,1.0,-9180010.17378548,5306967.066680938
120.0,2,1.0,1.0,1.0,1,2.27,15,1.0,-9178583.50768245,5302376.766912331
109.0,2,1.0,1.0,1.0,2,1.04,17,1.0,-9178855.732366974,5301962.352553741
115.0,2,1.0,1.0,1.0,1,1.86,13,1.0,-9178546.47567301,5303685.522362489
199.0,2,1.0,1.0,1.0,2,2.52,13,1.0,-9178767.157395944,5302048.568241803
150.0,2,1.0,1.0,1.0,1,0.26,2,2.0,-9178467.255584154,5303173.348759989
100.0,2,1.0,1.0,1.0,1,1.0,1,1.0,-9178446.996344132,5303229.231976268
250.0,6,3.0,4.0,2.5,1,2.56,98,1.0,-9179420.699316612,5302341.514353646
39.0,2,1.0,1.0,1.0,1,2.0,2,2.0,-9178688.473413462,5303304.522472198
69.0,4,1.0,1.0,1.0,3,5.92,28,1.0,-9178702.15410961,5303608.18803372
145.0,4,1.0,2.0,1.0,4,3.15,17,6.0,-9178414.93765094,5303368.9105221005
98.0,5,1.0,4.0,1.0,2,4.59,139,1.0,-9179363.219572991,5302777.688288035
130.0,4,1.0,1.0,1.0,1,0.32,5,1.0,-9178476.04905325,5303585.049147257
85.0,4,1.0,2.0,1.0,0,5.0,15,1.0,-9178411.209511114,5303164.909425028
85.0,1,1.0,1.0,1.0,1,0.03,1,3.0,-9178550.484194253,5303608.976359552
